Course ID;Course Name;Course Short Name;Subject Name;University Name ;City Name;Teaching languages Instruction;Required German language;Required English language;Beginning;Duration of Programme;Tuition Fees;Course Details Link
5402;12th Current Literature – Here's What Germany Reads;12th Current Literature;German Language and Literature (German, Germanic Languages except English);Martin Luther University Halle-Wittenberg;Lutherstadt Wittenberg;German;B2, C1, C2;None;None;None;None;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5402/
4993;25th International Summer Academy Sans Souci 2023 | ISAS;ISAS 2023;German Language and Literature (German, Germanic Languages except English);University of Potsdam;Potsdam;German;B2, C1, C2;None;None;None;None;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4993/
4920;27th International Summer Academy;27th International Summer Academy;German Language Course (including Literature and Culture Studies);Martin Luther University Halle-Wittenberg;Lutherstadt Wittenberg;German;A2, B1, B2, C1, C2;None;None;None;None;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4920/
8289;50th Trier International Summer School: Germany and its Neighbouring Countries 2023;50th Trier International Summer School 2023;German Language Course (including Literature and Culture Studies);Trier University;Trier;German;A1, A2, B1, B2, C1;None;None;None;None;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8289/
6324;5th International Winter Academy;5th International Winter Academy;German Language Course (including Literature and Culture Studies);Martin Luther University Halle-Wittenberg;Lutherstadt Wittenberg;German;A1, A2, B1, B2, C1;None;None;None;None;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6324/
5573;6th Solar Winter School;6th Solar Winter School;Engineering in general;SRH Berlin University of Applied Sciences;Berlin;English;None;B2, C1;None;None;None;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5573/
4889;74th International Summer Course: Germany Today;International Summer Course;German Language Course (including Literature and Culture Studies);Kiel University;Kiel;German;B1, B2, C1, C2;None;None;None;None;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4889/
6297;:prime – Foundation Programme;:prime – Foundation Programme;None;University of Bremen;Bremen;German;None;None;None;None;None;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6297/
4341;Abbe School of Photonics – PhD/Doctoral Programme;Abbe School of Photonics – PhD/Doctoral Programme;Physics, Astronomy;Friedrich Schiller University Jena;Jena;English, German;None;None;Any time;8 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4341/
5160;Academic German Preparation Course Munich: Intensive Courses at the International University Munich;Academic German Preparation Course Munich;None;Internationale Hochschule SDI München/International University SDI München;München;German;None;None;None;None;None;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5160/
8412;Academic German Year 2023/2024;Academic German Year 2023/2024;German as an Academic Language;University of Passau;Passau;German;A1, A2, B1, B2, C1;None;None;None;None;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8412/
4960;Academic Life in Leipzig – Autumn Language Course for International Researchers, Doctoral Candidates, and Students;Academic Life in Leipzig – Autumn Language Course;German Language Course (including Literature and Culture Studies);Leipzig University;Leipzig;German;A1, A2, B1, B2, C1;None;None;None;None;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4960/
6214;ACCESS² Preparation Year;ACCESS² Preparation Year;None;Heilbronn University of Applied Sciences;Heilbronn;German, English;None;None;None;None;None;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6214/
4479;Accounting & Finance (MSc);Accounting & Finance (MSc);Business and Economics;University of Tübingen;Tübingen;German, English;None;None;Winter semester;3 semesters;varied;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4479/
5514;Accounting and Controlling (now: FACT);Accounting and Controlling (now: FACT);Business and Economics;Hochschule für Wirtschaft und Recht Berlin;Berlin;English;None;None;Winter semester;3 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5514/
4722;Actuarial and Financial Mathematics;Actuarial and Financial Mathematics;Mathematics;RPTU University of Kaiserslautern-Landau;Kaiserslautern;English;None;None;Winter semester, Summer semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4722/
8567;Adentrándose a Alemania: Idioma, Cultura y Derechos Humanos;Adentrándose a Alemania: Idioma, Cultura y Derechos Humanos;Regional Studies;Catholic University of Eichstätt-Ingolstadt;Ingolstadt;Spanish, German;A1;None;None;None;None;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8567/
4770;Advanced and Computational Mathematics – International Master's Programme;Advanced and Computational Mathematics;Mathematics;Chemnitz University of Technology;Chemnitz;English;None;None;Winter semester, Summer semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4770/
7065;Advanced Architecture — From Urban Design to Building Construction;Advanced Architecture;Architecture;Frankfurt University of Applied Sciences;Frankfurt am Main;English;None;None;Summer semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7065/
6318;Advanced Computational Methods in Civil Engineering;Advanced Computational Methods in Civil Engineering;Civil Engineering;RWTH Aachen University;Aachen;English;None;None;Winter semester, Summer semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6318/
7938;Advanced Data Science With Python;Advanced Data Science With Python;Computer Science;Technische Universität Berlin;Berlin;English;None;B2;None;None;None;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7938/
4695;Advanced Functional Materials;Advanced Functional Materials;Chemistry;Chemnitz University of Technology;Chemnitz;English;None;None;Winter semester, Summer semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4695/
7612;Advanced Manufacturing;Advanced Manufacturing;Engineering in general;Chemnitz University of Technology;Chemnitz;English;None;None;Winter semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7612/
5403;Advanced Materials Analysis;Advanced Materials Analysis;Mining, Metallurgy;TU Bergakademie Freiberg;Freiberg;English;None;None;Winter semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5403/
8299;Advanced Methods in Particle Physics;Advanced Methods in Particle Physics;Physics, Astronomy;TU Dortmund University;Dortmund;English;None;None;Winter semester;4 semesters;965;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8299/
7211;Advanced Quantum Physics (MSc);Advanced Quantum Physics (MSc);Physics, Astronomy;University of Tübingen;Tübingen;English;None;None;Winter semester;4 semesters;varied;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7211/
4661;Advanced Signal Processing and Communications Engineering MSc;Advanced Signal Processing and Communications Engineering;Electrical Engineering;FAU Erlangen-Nürnberg;Erlangen;English;None;None;Winter semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4661/
7056;Advanced Spectroscopy in Chemistry (ASC);Advanced Spectroscopy in Chemistry (ASC);Chemistry;Leipzig University;Leipzig;English;None;None;Winter semester;4 semesters;varied;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7056/
6217;Advertising & Brand Communication (BA);Advertising & Brand Communication (BA);Design;SRH Berlin University of Applied Sciences;Berlin;English;None;None;Winter semester, Summer semester;7 semesters;4500;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6217/
6141;Aerospace (MSc);Aerospace (MSc);Engineering in general;Technical University Munich;Garching b. München;German, English;None;None;Winter semester, Summer semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6141/
4044;African Verbal and Visual Arts: Languages, Literatures, Media and Art;African Verbal and Visual Arts;Other / Non-European Languages and Cultural Studies;University of Bayreuth;Bayreuth;English;None;None;Winter semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4044/
5443;African Verbal and Visual Arts: Languages, Literatures, Media and Art (BA);African Verbal and Visual Arts;Languages and Cultural Studies in general;University of Bayreuth;Bayreuth;English;None;None;Winter semester;6 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5443/
4229;Agribusiness BA;Agribusiness BA;Agriculture, Forestry and Nutritional Sciences in general;Rhine-Waal University of Applied Sciences;Kleve;English;None;None;Winter semester;7 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4229/
7602;Agricultural and Food Economics (AFECO);Agricultural and Food Economics (AFECO);Agriculture, Forestry and Nutritional Sciences in general;University of Bonn;Bonn;English;None;None;Winter semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7602/
6527;Agricultural Biosciences;Agricultural Biosciences;Agriculture, Forestry and Nutritional Sciences in general;Technical University Munich;Freising;English;None;None;Winter semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6527/
3723;Agricultural Economics (AgEcon);Agricultural Economics (AgEcon);Agriculture, Forestry and Nutritional Sciences in general;University of Hohenheim;Stuttgart;English;None;None;Winter semester;4 semesters;varied;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3723/
7600;Agricultural Sciences and Resource Management in the Tropics and Subtropics (ARTS);Agricultural Sciences & Resource Management in the (Sub-)Tropics;Agriculture, Forestry and Nutritional Sciences in general;University of Bonn;Bonn;English;None;None;Winter semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7600/
3788;Agricultural Sciences in the Tropics and Subtropics (AgriTropics);Agricultural Sciences in the Tropics and Subtropics;Agriculture, Forestry and Nutritional Sciences in general;University of Hohenheim;Stuttgart;English;None;None;Winter semester;4 semesters;varied;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3788/
8310;Agricultural, Food and Environmental Policy Analysis;Agricultural, Food and Environmental Policy Analysis;Agriculture, Forestry and Nutritional Sciences in general;University of Bonn;Bonn;English;None;None;Winter semester;4 semesters;varied;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8310/
8543;Agriculture, Ecology & Societies (AGES);Agriculture, Ecology & Societies (AGES);Agriculture, Forestry and Nutritional Sciences in general;University of Kassel;Witzenhausen;English;None;None;Winter semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8543/
7709;Agrobiotechnology;Agrobiotechnology;Agriculture, Forestry and Nutritional Sciences in general;Justus Liebig University Giessen;Gießen;English;None;None;Winter semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7709/
3676;Air Quality Control, Solid Waste and Waste Water Process Engineering (WASTE);Air Quality Control, Solid Waste, Waste Water Process Engineering;Mechanical Engineering / Process Engineering;University of Stuttgart;Stuttgart;English;None;None;Winter semester;4 semesters;varied;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3676/
4764;Albrecht Mendelssohn Bartholdy Graduate School of Law;Albrecht Mendelssohn Bartholdy Graduate School of Law;Law;Universität Hamburg;Hamburg;German, English;None;None;Winter semester;6 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4764/
6080;AMASE: Joint European Master's Programme in Advanced Materials Science and Engineering;Advanced Materials Science and Engineering (AMASE);Engineering in general;Saarland University;Saarbrücken;German, English, French, Spanish;None;None;Winter semester;4 semesters;varied;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6080/
5332;American Studies (MA);American Studies (MA);English Studies, American Studies;University of Tübingen;Tübingen;English;None;None;Winter semester, Summer semester;4 semesters;1500;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5332/
6266;AMIS Master – International Master's in Advanced Materials for Innovation & Sustainability;AMIS Master: Advanced Materials for Innovation and Sustainability;Engineering in general;Technical University of Darmstadt;Darmstadt;English;None;None;Winter semester;4 semesters;varied;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6266/
3949;Analytical Instruments, Measurement and Sensor Technology (AIMS);Analytical Instruments, Measurement and Sensor Technology;Engineering in general;Coburg University of Applied Sciences and Arts;Coburg;English;None;None;Winter semester;4 semesters;3900;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3949/
